<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	02:57:00	1.77490	1.77490	1.77464	1.77476	21	0	39
2019.08.01	02:58:00	1.77476	1.77511	1.77476	1.77496	36	0	30
2019.08.01	02:59:00	1.77497	1.77546	1.77497	1.77530	38	0	31
2019.08.01	03:00:00	1.77533	1.77560	1.77519	1.77558	51	0	43
2019.08.01	03:01:00	1.77549	1.77576	1.77530	1.77557	42	0	40
2019.08.01	03:02:00	1.77557	1.77599	1.77555	1.77596	82	0	36
2019.08.01	03:03:00	1.77584	1.77598	1.77568	1.77585	57	0	45
2019.08.01	03:04:00	1.77589	1.77604	1.77588	1.77598	28	0	47
2019.08.01	03:05:00	1.77598	1.77602	1.77521	1.77529	41	0	42
2019.08.01	03:06:00	1.77525	1.77553	1.77515	1.77550	50	0	41
2019.08.01	03:07:00	1.77550	1.77586	1.77540	1.77586	46	0	43
2019.08.01	03:08:00	1.77586	1.77638	1.77577	1.77638	48	0	44
2019.08.01	03:09:00	1.77634	1.77641	1.77576	1.77584	37	0	39
2019.08.01	03:10:00	1.77584	1.77628	1.77573	1.77601	50	0	37
2019.08.01	03:11:00	1.77601	1.77601	1.77572	1.77572	34	0	40
2019.08.01	03:12:00	1.77590	1.77626	1.77583	1.77615	47	0	43
2019.08.01	03:13:00	1.77615	1.77618	1.77575	1.77604	57	0	35
2019.08.01	03:14:00	1.77604	1.77622	1.77602	1.77620	45	0	39
2019.08.01	03:15:00	1.77621	1.77654	1.77621	1.77653	50	0	30
2019.08.01	03:16:00	1.77651	1.77657	1.77565	1.77568	77	0	30
2019.08.01	03:17:00	1.77574	1.77607	1.77567	1.77606	97	0	32
2019.08.01	03:18:00	1.77605	1.77610	1.77562	1.77569	71	0	42
2019.08.01	03:19:00	1.77570	1.77592	1.77545	1.77580	73	0	40
2019.08.01	03:20:00	1.77580	1.77582	1.77525	1.77532	37	0	32
2019.08.01	03:21:00	1.77532	1.77539	1.77502	1.77507	73	0	37
2019.08.01	03:22:00	1.77508	1.77526	1.77459	1.77463	76	0	38
2019.08.01	03:23:00	1.77463	1.77520	1.77461	1.77479	93	0	40
2019.08.01	03:24:00	1.77480	1.77482	1.77423	1.77445	64	0	41
2019.08.01	03:25:00	1.77446	1.77475	1.77400	1.77475	55	0	43
2019.08.01	03:26:00	1.77477	1.77490	1.77463	1.77473	55	0	44
2019.08.01	03:27:00	1.77458	1.77474	1.77446	1.77453	40	0	41
2019.08.01	03:28:00	1.77453	1.77457	1.77433	1.77435	19	0	47
2019.08.01	03:29:00	1.77435	1.77439	1.77420	1.77421	19	0	46
2019.08.01	03:30:00	1.77421	1.77477	1.77421	1.77462	44	0	36
2019.08.01	03:31:00	1.77462	1.77468	1.77442	1.77452	41	0	42
2019.08.01	03:32:00	1.77463	1.77463	1.77425	1.77435	54	0	38
2019.08.01	03:33:00	1.77436	1.77440	1.77408	1.77413	66	0	43
2019.08.01	03:34:00	1.77413	1.77425	1.77405	1.77423	45	0	37
2019.08.01	03:35:00	1.77418	1.77422	1.77376	1.77382	51	0	31
2019.08.01	03:36:00	1.77382	1.77413	1.77334	1.77398	79	0	42
2019.08.01	03:37:00	1.77393	1.77417	1.77374	1.77374	48	0	42
2019.08.01	03:38:00	1.77372	1.77404	1.77355	1.77404	46	0	42
2019.08.01	03:39:00	1.77404	1.77455	1.77402	1.77442	43	0	37
2019.08.01	03:40:00	1.77442	1.77447	1.77418	1.77419	47	0	44
2019.08.01	03:41:00	1.77417	1.77436	1.77406	1.77420	36	0	34
2019.08.01	03:42:00	1.77429	1.77433	1.77413	1.77418	33	0	40
2019.08.01	03:43:00	1.77420	1.77440	1.77415	1.77438	26	0	37
2019.08.01	03:44:00	1.77438	1.77447	1.77405	1.77406	40	0	42
2019.08.01	03:45:00	1.77408	1.77412	1.77365	1.77378	33	0	30
2019.08.01	03:46:00	1.77381	1.77387	1.77158	1.77253	143	0	36
2019.08.01	03:47:00	1.77253	1.77303	1.77190	1.77279	116	0	44
2019.08.01	03:48:00	1.77281	1.77306	1.77217	1.77218	102	0	35
2019.08.01	03:49:00	1.77217	1.77250	1.77217	1.77229	59	0	42
2019.08.01	03:50:00	1.77233	1.77259	1.77227	1.77249	40	0	45
2019.08.01	03:51:00	1.77249	1.77268	1.77249	1.77261	54	0	42
2019.08.01	03:52:00	1.77247	1.77251	1.77225	1.77241	31	0	40
2019.08.01	03:53:00	1.77229	1.77231	1.77185	1.77186	31	0	42
2019.08.01	03:54:00	1.77184	1.77211	1.77152	1.77152	83	0	30
2019.08.01	03:55:00	1.77160	1.77200	1.77126	1.77145	71	0	40
2019.08.01	03:56:00	1.77140	1.77184	1.77131	1.77178	39	0	41
2019.08.01	03:57:00	1.77178	1.77178	1.77157	1.77160	29	0	40
2019.08.01	03:58:00	1.77160	1.77221	1.77142	1.77219	53	0	44
2019.08.01	03:59:00	1.77219	1.77219	1.77144	1.77165	49	0	44
2019.08.01	04:00:00	1.77166	1.77201	1.77163	1.77184	70	0	37
2019.08.01	04:01:00	1.77184	1.77190	1.77162	1.77165	47	0	41
2019.08.01	04:02:00	1.77173	1.77190	1.77166	1.77189	30	0	41
2019.08.01	04:03:00	1.77185	1.77221	1.77185	1.77208	32	0	43
2019.08.01	04:04:00	1.77208	1.77225	1.77197	1.77208	29	0	41
2019.08.01	04:05:00	1.77208	1.77228	1.77205	1.77216	46	0	38
2019.08.01	04:06:00	1.77214	1.77217	1.77202	1.77206	23	0	41
2019.08.01	04:07:00	1.77206	1.77229	1.77206	1.77213	34	0	36
2019.08.01	04:08:00	1.77219	1.77242	1.77212	1.77219	42	0	30
2019.08.01	04:09:00	1.77219	1.77223	1.77194	1.77198	33	0	30
2019.08.01	04:10:00	1.77198	1.77198	1.77149	1.77159	34	0	39
2019.08.01	04:11:00	1.77146	1.77154	1.77107	1.77112	50	0	32
2019.08.01	04:12:00	1.77116	1.77162	1.77116	1.77148	54	0	43
2019.08.01	04:13:00	1.77148	1.77151	1.77123	1.77128	26	0	45
2019.08.01	04:14:00	1.77128	1.77132	1.77093	1.77131	44	0	44
2019.08.01	04:15:00	1.77132	1.77152	1.77131	1.77133	26	0	46
2019.08.01	04:16:00	1.77133	1.77181	1.77133	1.77164	52	0	45
2019.08.01	04:17:00	1.77164	1.77176	1.77141	1.77152	26	0	36
2019.08.01	04:18:00	1.77152	1.77179	1.77143	1.77179	25	0	32
2019.08.01	04:19:00	1.77179	1.77184	1.77158	1.77169	38	0	34
2019.08.01	04:20:00	1.77168	1.77168	1.77149	1.77155	22	0	39
2019.08.01	04:21:00	1.77155	1.77179	1.77144	1.77178	26	0	39
2019.08.01	04:22:00	1.77184	1.77206	1.77170	1.77176	59	0	35
2019.08.01	04:23:00	1.77166	1.77193	1.77160	1.77182	53	0	34
2019.08.01	04:24:00	1.77182	1.77182	1.77162	1.77164	18	0	44
2019.08.01	04:25:00	1.77164	1.77188	1.77151	1.77158	28	0	41
2019.08.01	04:26:00	1.77158	1.77182	1.77158	1.77182	25	0	40
2019.08.01	04:27:00	1.77182	1.77201	1.77148	1.77148	52	0	39
2019.08.01	04:28:00	1.77149	1.77156	1.77131	1.77131	39	0	40
2019.08.01	04:29:00	1.77132	1.77136	1.77113	1.77129	44	0	41
2019.08.01	04:30:00	1.77129	1.77131	1.77078	1.77113	59	0	42
2019.08.01	04:31:00	1.77114	1.77120	1.77105	1.77116	24	0	43
2019.08.01	04:32:00	1.77116	1.77116	1.77073	1.77077	38	0	37
2019.08.01	04:33:00	1.77078	1.77095	1.77044	1.77044	55	0	40
2019.08.01	04:34:00	1.77044	1.77075	1.77044	1.77074	37	0	44
2019.08.01	04:35:00	1.77074	1.77086	1.77058	1.77076	27	0	43
2019.08.01	04:36:00	1.77078	1.77095	1.77053	1.77078	39	0	39
2019.08.01	04:37:00	1.77078	1.77105	1.77076	1.77086	25	0	37
2019.08.01	04:38:00	1.77084	1.77108	1.77078	1.77105	24	0	39
2019.08.01	04:39:00	1.77105	1.77119	1.77080	1.77112	41	0	43
2019.08.01	04:40:00	1.77112	1.77117	1.77096	1.77112	33	0	40
2019.08.01	04:41:00	1.77111	1.77112	1.77085	1.77105	18	0	41
2019.08.01	04:42:00	1.77100	1.77159	1.77098	1.77152	30	0	40
2019.08.01	04:43:00	1.77152	1.77156	1.77146	1.77147	12	0	46
2019.08.01	04:44:00	1.77147	1.77150	1.77103	1.77123	51	0	40
2019.08.01	04:45:00	1.77098	1.77122	1.77074	1.77092	40	0	31
2019.08.01	04:46:00	1.77091	1.77092	1.77053	1.77053	27	0	44
2019.08.01	04:47:00	1.77038	1.77076	1.77031	1.77032	57	0	39
2019.08.01	04:48:00	1.77040	1.77066	1.77014	1.77027	61	0	38
2019.08.01	04:49:00	1.77026	1.77061	1.77023	1.77055	38	0	41
2019.08.01	04:50:00	1.77054	1.77100	1.77054	1.77096	54	0	37
2019.08.01	04:51:00	1.77099	1.77099	1.77053	1.77077	36	0	33
2019.08.01	04:52:00	1.77077	1.77119	1.77075	1.77108	30	0	35
2019.08.01	04:53:00	1.77108	1.77117	1.77035	1.77039	46	0	33
2019.08.01	04:54:00	1.77046	1.77087	1.77046	1.77087	30	0	41
2019.08.01	04:55:00	1.77086	1.77095	1.77077	1.77086	25	0	39
2019.08.01	04:56:00	1.77089	1.77114	1.77089	1.77114	29	0	42
